shrcd,exchcd,siccd,issuer_ticker,prc,vol,ret,shrout,datem,mktcap,date,industry_adjusted_score,industry_unadjusted_score,letter_rating,S_factor,G_factor,E_factor,ESG_factor,Mkt-RF,SMB,HML,RF,Mom
11.0,3.0,2520,MLHR,38.65,105949.0,-0.072029,59062.0,2020-01-01,2282746.3,2020-01-01,7.8,7.0,AA,,,,,-0.11,-3.11,-6.23,0.13,5.98
11.0,1.0,3489,ACCO,7.66,137793.0,0.465844,94497.0,2020-11-01,723847.02,2020-11-01,7.0,6.6,A,,,,,12.47,5.81,2.13,0.01,-12.43
14.0,1.0,6722,INF,12.45,19849.0,-0.148662,13799.0,2020-02-01,171797.55,2020-02-01,8.2,6.5,AA,,,,,-8.13,1.07,-3.79,0.12,-0.4
73.0,5.0,6726,EDEN,73.6786,3796.0,0.027273,700.0,2020-06-01,51575.02,2020-06-01,7.8,6.8,AA,,,,,2.46,2.7,-2.17,0.01,-0.73
12.0,1.0,5099,JCI,46.04,1286106.0,0.090737,723908.0,2020-11-01,33328724.32,2020-11-01,10.0,6.9,AAA,,,,,12.47,5.81,2.13,0.01,-12.43
73.0,4.0,6726,IG,27.8261,970.0,0.038154,12050.0,2020-11-01,335304.505,2020-11-01,8.5,6.8,AA,,,,,12.47,5.81,2.13,0.01,-12.43
31.0,3.0,4812,VOD,13.42,909840.0,-0.091402,384327.0,2020-09-01,5157668.34,2020-09-01,8.95,6.699999999999999,AAA,,,,,-3.63,0.04,-2.68,0.01,3.12
11.0,3.0,4911,XEL,66.67,507088.0,-0.00386,537438.0,2020-12-01,35830991.46,2020-12-01,7.76,6.659999999999999,AA,,,,,4.63,4.89,-1.5,0.01,-2.32
11.0,1.0,4911,NEE,252.75999,511007.0,-0.052349,488966.0,2020-02-01,123591041.27034,2020-02-01,6.966666666666666,6.0,AA,,,,,-8.13,1.07,-3.79,0.12,-0.4
11.0,3.0,2520,MLHR,23.61,177959.0,0.02563,58793.0,2020-06-01,1388102.73,2020-06-01,7.8,7.0,AA,,,,,2.46,2.7,-2.17,0.01,-0.73
12.0,1.0,8711,STN,29.89,27215.0,0.004031,111503.0,2020-02-01,3332824.67,2020-02-01,8.2,6.6,AA,,,,,-8.13,1.07,-3.79,0.12,-0.4
11.0,1.0,3519,CMI,135.32001,428500.0,-0.105559,148122.0,2020-03-01,20043870.52122,2020-03-01,10.0,6.7,AAA,,,,,-13.39,-4.86,-13.95,0.13,7.97
14.0,1.0,6722,FRA,10.8,50855.0,0.086793,36576.0,2020-04-01,395020.8000000001,2020-04-01,8.4,6.6,AA,,,,,13.65,2.47,-1.26,0.0,-5.23
73.0,4.0,6726,SDY,92.46,130010.0,0.000649,171604.0,2020-10-01,15866505.84,2020-10-01,10.0,7.6,AAA,,,,,-2.1,4.37,4.22,0.01,-3.05
11.0,1.0,5012,IAA,56.59,151429.0,0.086806,133949.0,2020-10-01,7580173.91,2020-10-01,6.7,6.9,A,,,,,-2.1,4.37,4.22,0.01,-3.05
12.0,3.0,2834,BLU,3.15,515584.0,0.363636,60149.0,2020-11-01,189469.35,2020-11-01,2.8,4.2,B,,,,,12.47,5.81,2.13,0.01,-12.43
11.0,3.0,7370,MSFT,179.21001,9846428.0,0.136326,7583440.0,2020-04-01,1359028358.2344,2020-04-01,10.0,7.3,AAA,,,,,13.65,2.47,-1.26,0.0,-5.23
12.0,3.0,3559,ASML,288.42999,172528.0,0.107964,76867.0,2020-04-01,22170748.04133,2020-04-01,10.0,7.2,AAA,,,,,13.65,2.47,-1.26,0.0,-5.23
