shrcd,exchcd,siccd,issuer_ticker,prc,vol,ret,shrout,datem,mktcap,date,industry_adjusted_score,industry_unadjusted_score,letter_rating,S_factor,G_factor,E_factor,ESG_factor,Mkt-RF,SMB,HML,RF,Mom
11.0,3.0,5047,HSIC,114.26,74948.0,0.002281,85622.0,2013-12-01,9783169.72,2013-12-01,8.2,5.9,AA,-0.00415995,-0.006994908,-0.006124225,0.008683142,2.81,-0.45,-0.02,0.0,0.02
11.0,1.0,4931.0,CMS,13.4,707060.0,-0.000746,228917.0,2009-09-01,3067487.8000000003,2009-09-01,0.0,3.21,CCC,-0.013384992,0.012785167,-0.026237508,0.015599758,4.08,2.43,1.04,0.01,-4.79
11.0,3.0,5812,TAST,14.44,71833.0,0.088169,35828.0,2016-03-01,517356.32,2016-03-01,1.9,0.0,B,0.006308525,0.027036092,-0.017730692,0.025660067,6.96,0.82,1.19,0.02,-5.01
11.0,1.0,6162.0,SGM,4.61,3946.0,0.146766,25839.0,2016-11-01,119117.79,2016-11-01,10.0,8.3,AAA,0.067965958,0.010299783,-0.010135067,-0.020091608,4.86,5.67,8.19,0.01,-4.62
11.0,3.0,5990.0,PDCO,34.09,127311.0,0.02485,109920.0,2012-04-01,3747172.8,2012-04-01,7.14,7.23,A,-0.012918317,0.010311542,-0.01266955,0.01694925,-0.85,-0.41,-0.78,0.0,3.75
31.0,1.0,3312,MTL,5.17,27103.0,-0.089789,82267.0,2017-09-01,425320.39,2017-09-01,6.9,6.3,A,0.028989258,0.015009075,-0.029448892,-0.0224395,2.51,4.46,3.12,0.09,-1.32
11.0,1.0,2841.0,ECL,114.17,158423.0,-0.062028,291595.0,2016-10-01,33291401.15,2016-10-01,8.55,6.699999999999999,A,-0.036525708,0.012396383,0.019624975,0.017342583,-2.02,-4.42,4.12,0.02,0.6
73.0,3.0,6726,AIA,50.1,13860.0,0.037482,7200.0,2016-09-01,360720.0,2016-09-01,7.5,6.3,AA,-0.00467505,0.017101967,-0.012727533,-0.000452958,0.25,2.13,-1.23,0.02,0.19
11.0,1.0,4931.0,EXC,78.0,794114.0,0.04018,672650.0,2007-05-01,52466700.0,2007-05-01,4.28,5.18,BB,7.5625e-05,0.030301267,,-0.000297267,3.24,0.24,-0.65,0.41,-0.34
73.0,4.0,6726,MINT,101.79,103285.0,0.001671,72480.0,2017-08-01,7377739.2,2017-08-01,8.8,6.6,AAA,-0.003349092,-0.014326625,0.012828225,0.025496958,0.16,-1.67,-2.09,0.09,3.26
12.0,1.0,6799,ALLE,120.03,120478.0,0.034385,92917.0,2019-11-01,11152827.51,2019-11-01,7.3,6.4,AA,,,,,3.87,0.79,-2.0,0.12,-2.66
11.0,1.0,3519.0,CMI,97.12,422085.0,0.105363,197810.0,2010-11-01,19211307.2,2010-11-01,5.77,5.41,A,0.016021025,0.035308383,-0.044200958,-0.025508467,0.6,3.74,-0.92,0.01,2.66
11.0,3.0,7361,KELYA,26.19,36513.0,0.114468,35600.0,2019-06-01,932364.0,2019-06-01,8.3,6.3,AA,,,,,6.93,0.27,-0.72,0.18,-2.3
11.0,3.0,5990.0,PDCO,38.61,133645.0,0.049755,139948.0,2007-09-01,5403392.28,2007-09-01,3.64,6.07,BB,-0.022753542,-0.006015167,,-0.01503905,3.22,-2.22,-2.23,0.32,4.63
11.0,1.0,3519,CMI,150.75999,258138.0,-0.086536,157492.0,2019-05-01,23743492.34508,2019-05-01,8.5,6.3,AA,,,,,-6.94,-1.31,-2.35,0.21,7.56
11.0,1.0,3089,MYE,15.61,24238.0,0.164925,30998.0,2015-10-01,483878.78,2015-10-01,4.4,5.4,BBB,-0.036427325,0.039352867,-0.004362908,0.005633967,7.75,-1.87,-0.46,0.0,-3.28
44.0,1.0,6722,PPT,4.54,165451.0,-0.092262,103224.0,2020-03-01,468636.96,2020-03-01,10.0,7.2,AAA,,,,,-13.39,-4.86,-13.95,0.13,7.97
11.0,1.0,3646,AWI,68.81,95247.0,-0.066857,47859.0,2020-09-01,3293177.79,2020-09-01,6.7,6.3,A,,,,,-3.63,0.04,-2.68,0.01,3.12
18.0,1.0,6798,PLD,42.92,633326.0,0.013333,524311.0,2015-12-01,22503428.12,2015-12-01,7.2,6.2,AA,-0.02371105,-0.01808705,0.027961733,-0.005074117,-2.17,-2.82,-2.61,0.01,3.36
44.0,1.0,6726,PPT,5.38,54321.0,0.016165,121283.0,2017-10-01,652502.54,2017-10-01,8.6,6.2,AAA,0.0236463,0.028652592,0.013752142,0.0304212,2.25,-1.93,0.21,0.09,4.27
