shrcd,exchcd,siccd,issuer_ticker,prc,vol,ret,shrout,datem,mktcap,date,industry_adjusted_score,industry_unadjusted_score,letter_rating,S_factor,G_factor,E_factor,ESG_factor,Mkt-RF,SMB,HML,RF,Mom
,,,BARN,,,,,2017-10,,2017-10-01,7.8,5.2,AA,0.0236463,0.028652592,0.013752142,0.0304212,2.25,-1.93,0.21,0.09,4.27
73.0,4.0,6726,SRS,30.77,6880.0,0.015512,846.0,2017-09,26031.42,2017-09-01,4.5,4.0,BBB,0.028989258,0.015009075,-0.029448892,-0.0224395,2.51,4.46,3.12,0.09,-1.32
,,,000270,,,,,2019-02,,2019-02-01,0.0,3.0,CCC,-0.015488892,-0.024553458,0.007253492,0.015865667,3.4,2.05,-2.67,0.18,0.86
,,,GPPL,,,,,2020-04,,2020-04-01,2.7,4.0,B,,,,,13.65,2.47,-1.26,0.0,-5.23
,,,PUGET,,,,,2019-01,,2019-01-01,3.8,4.65,BB,0.002627942,0.017763333,0.007356,-0.0229757,8.4,2.89,-0.46,0.21,-8.68
11.0,3.0,6020,BOKF,65.23,52555.0,0.040351,65866.0,2016-07,4296439.180000001,2016-07-01,5.4,4.8,BBB,0.030238,-0.01283525,0.037763233,0.004643992,3.95,2.51,-1.27,0.02,-3.34
,,,STNPB,,,,,2019-04,,2019-04-01,0.0,3.0,CCC,,,,,3.97,-1.74,2.14,0.21,-2.97
,,,601117,,,,,2018-07,,2018-07-01,2.0,2.6,B,0.000868542,-0.020117392,0.002435592,0.02815055,3.19,-2.23,0.47,0.16,-1.41
,,,GLEN,,,,,2014-05,,2014-05-01,2.9,2.8,BB,-0.0066736,0.011971642,0.012461125,0.00747155,2.06,-1.88,-0.13,0.0,0.87
,,,7911,,,,,2015-09,,2015-09-01,5.0,4.9,BBB,-0.032355858,0.014063233,0.027057467,0.018774442,-3.07,-2.63,0.56,0.0,5.22
,,,BCI,,,,,2017-01,,2017-01-01,6.1,4.95,A,-0.006246492,0.011119508,0.019179158,0.004976308,1.94,-1.14,-2.76,0.04,-0.93
11.0,3.0,2834,IPXL,31.42,106812.0,0.090215,73863.0,2016-07,2320775.46,2016-07-01,3.7,3.6,BB,0.030238,-0.01283525,0.037763233,0.004643992,3.95,2.51,-1.27,0.02,-3.34
,,,004020,,,,,2019-07,,2019-07-01,0.0,2.1,CCC,,,,,1.19,-1.93,0.47,0.19,2.89
11.0,1.0,7389,VVI,54.25,14829.0,0.02552,20479.0,2018-06,1110985.75,2018-06-01,6.5,6.3,A,-0.000371092,0.010223008,0.002968533,-0.012036575,0.48,1.15,-2.33,0.14,-2.35
11.0,1.0,5311.0,DDS,78.3,98166.0,0.027537,41806.0,2013-09,3273409.8,2013-09-01,2.86,1.7,BB,-0.010241708,-0.008211575,0.002572567,-0.008110292,3.77,2.91,-1.22,0.0,3.06
18.0,1.0,6798,CYS,7.17,368455.0,0.066964,155438.0,2018-04,1114490.46,2018-04-01,3.4,4.4,BB,0.06129195,0.059387308,-0.0243539,-0.01038615,0.28,1.14,0.54,0.14,0.36
,,,KPN-AE,,,,,2007-02,,2007-02-01,6.24,4.86,A,0.019248483,-0.009523283,,-0.011084133,-1.96,1.18,-0.13,0.38,-1.35
,,,SWMA-SK,,,,,2011-02,,2011-02-01,4.28,3.69,BB,0.008828992,0.00288075,-0.023298858,-0.008206983,3.49,1.53,1.27,0.01,1.99
11.0,1.0,2038.0,SLE,12.18,924887.0,0.003295,697306.0,2009-12,8493187.08,2009-12-01,2.71,3.66,B,0.017812533,0.011528142,-0.003538292,-0.000309575,2.75,6.04,-0.17,0.01,3.01
,,,SOGN,,,,,2016-05,,2016-05-01,5.7,4.9,BBB,0.011018142,0.004892675,0.028638917,-0.011118417,1.78,-0.18,-1.66,0.01,1.42
,,,CMVT-5,,,,,2006-10,,2006-10-01,6.44,4.64,A,0.004853375,-0.020620508,,,3.23,1.75,-0.3,0.41,-0.2
,,,2888,,,,,2016-08,,2016-08-01,4.0,4.8,BB,0.009234758,0.007898217,0.018065725,0.004284425,0.49,1.18,3.13,0.02,-3.49
,,,5012-TO,,,,,2011-04,,2011-04-01,2.95,4.86,BB,-0.029553808,0.021609125,-0.002227108,0.034589675,2.9,-0.33,-2.49,0.0,0.04
,,,8984,,,,,2019-04,,2019-04-01,1.9,4.2,B,,,,,3.97,-1.74,2.14,0.21,-2.97
,,,4901-TO,,,,,2007-09,,2007-09-01,8.49,6.99,AA,-0.022753542,-0.006015167,,-0.01503905,3.22,-2.22,-2.23,0.32,4.63
11.0,1.0,7373,SNX,91.1,51805.0,0.103306,39703.0,2016-05,3616943.3,2016-05-01,6.9,5.1,A,0.011018142,0.004892675,0.028638917,-0.011118417,1.78,-0.18,-1.66,0.01,1.42
,,,6258,,,,,2020-11,,2020-11-01,5.3,5.2,BBB,,,,,12.47,5.81,2.13,0.01,-12.43
,,,SULA11,,,,,2018-08,,2018-08-01,3.3,4.4,BB,0.074072517,0.022886775,0.046277983,0.022157183,3.44,1.13,-3.98,0.16,5.29
,,,4902,,,,,2013-08,,2013-08-01,6.4,5.0,A,0.003599467,0.007885092,-0.002765983,0.017547525,-2.71,0.28,-2.69,0.0,0.02
,,,008770,,,,,2017-07,,2017-07-01,4.1,3.4,BB,0.0393246,0.010478208,0.014398917,0.00910675,1.87,-1.46,-0.24,0.07,1.68
,,,090430,,,,,2015-11,,2015-11-01,7.7,6.1,AA,0.038453308,8.37833e-05,0.018648217,0.002610683,0.56,3.59,-0.42,0.0,2.28
11.0,1.0,2911,ALJ,12.67,256752.0,-0.092407,69606.0,2014-12,881908.02,2014-12-02,3.3,3.2,BB,0.03260375,-0.010953733,-0.00667505,-0.014995058,-0.06,2.49,2.27,0.0,1.12
11.0,1.0,6311,MCY,55.97,40399.0,-0.012701,55332.0,2017-10,3096932.04,2017-10-01,4.75,4.9,AA,0.0236463,0.028652592,0.013752142,0.0304212,2.25,-1.93,0.21,0.09,4.27
,,,051600,,,,,2015-03,,2015-03-01,3.3,3.8,BB,0.032549283,-0.021895333,0.004033567,-0.020563258,-1.12,3.04,-0.37,0.0,2.74
,,,1316,,,,,2019-10,,2019-10-01,2.6,4.2,B,,,,,2.06,0.29,-1.92,0.16,0.15
11.0,1.0,5122,EPC,26.95,148498.0,-0.055711,54129.0,2019-06,1458776.55,2019-06-01,3.8,4.7,BB,,,,,6.93,0.27,-0.72,0.18,-2.3
,,,071050,,,,,2013-09,,2013-09-01,0.0,2.1,CCC,-0.010241708,-0.008211575,0.002572567,-0.008110292,3.77,2.91,-1.22,0.0,3.06
,,,ZURN,,,,,2018-05,,2018-05-01,8.4,6.6,AA,0.021006225,0.021007533,-0.0066537,0.011174375,2.65,5.26,-3.18,0.14,3.89
11.0,1.0,8742,CVT,31.71,49965.0,-0.029682,42358.0,2016-09,1343172.18,2016-09-01,2.9,4.2,BB,-0.00467505,0.017101967,-0.012727533,-0.000452958,0.25,2.13,-1.23,0.02,0.19
,,,KLED,,,,,2019-08,,2019-08-01,7.8,6.3,AA,,,,,-2.58,-2.37,-4.77,0.16,6.92
,,,BELO,,,,,2014-02,,2014-02-01,5.0,6.0,BBB,0.007200192,-0.000104942,-0.004207375,0.002051642,4.65,0.37,-0.31,0.0,2.07
11.0,1.0,2816,KRO,13.02,58398.0,0.012298,115873.0,2014-12,1508666.46,2014-12-02,1.43,1.9,B,0.03260375,-0.010953733,-0.00667505,-0.014995058,-0.06,2.49,2.27,0.0,1.12
11.0,1.0,3484.0,RGR,53.55,73812.0,0.083049,17664.0,2017-03,945907.2,2017-03-01,2.5,4.0,B,-0.018273858,0.000117925,0.00174255,0.013374767,0.17,1.14,-3.32,0.03,-1.02
,,,PLT-MI,,,,,2010-04,,2010-04-01,1.59,3.53,B,0.006442283,0.027588833,-0.025660992,-0.016123358,2.0,4.87,2.89,0.01,3.16
,,,4502,,,,,2015-08,,2015-08-01,6.0,3.9,A,-0.00575945,0.005492483,-0.018212583,-0.000829442,-6.04,0.33,2.77,0.0,-2.09
11.0,3.0,9999,PTCT,5.97,196130.0,-0.149573,34083.0,2016-07,203475.51,2016-07-01,4.4,4.6,BBB,0.030238,-0.01283525,0.037763233,0.004643992,3.95,2.51,-1.27,0.02,-3.34
,,,8933-TO,,,,,2011-10,,2011-10-01,3.52,4.19,BB,0.025458308,-0.00016575,-0.025870333,-0.037368917,11.35,3.28,0.1,0.0,-1.43
,,,008000,,,,,2016-08,,2016-08-01,6.9,5.9,A,0.009234758,0.007898217,0.018065725,0.004284425,0.49,1.18,3.13,0.02,-3.49
11.0,1.0,3679,MSI,128.36,216880.0,0.058203,162267.0,2018-08,20828592.12,2018-08-01,6.6,5.35,A,0.074072517,0.022886775,0.046277983,0.022157183,3.44,1.13,-3.98,0.16,5.29
11.0,1.0,2111,MO,56.11,2094809.0,-0.099647,1892648.0,2018-04,106196479.28,2018-04-01,3.5,3.0,BB,0.06129195,0.059387308,-0.0243539,-0.01038615,0.28,1.14,0.54,0.14,0.36
,,,207,,,,,2017-12,,2017-12-01,2.5,2.9,B,-0.024018125,0.00477915,-0.008567133,-0.016049375,1.06,-1.32,0.05,0.09,-1.54
11.0,3.0,5010,CPRT,50.93,306246.0,0.088015,231994.0,2018-03,11815454.42,2018-03-01,6.5,6.6,A,-0.016025775,0.015084133,-0.034614867,-0.007408533,-2.35,4.05,-0.23,0.11,-1.13
,,,9437-TO,,,,,2006-11,,2006-11-01,7.87,6.59,AA,-0.0196683,-0.002813708,,,1.71,0.7,0.14,0.42,-1.03
,,,SIMEPROP,,,,,2020-09,,2020-09-01,5.1,4.6,BBB,,,,,-3.63,0.04,-2.68,0.01,3.12
11.0,1.0,7372.0,CA,22.0,816469.0,-0.118236,515609.0,2008-01,11343398.0,2008-01-01,6.74,7.22,A,0.001488975,-0.019039475,,-0.040704508,-6.36,-1.04,3.98,0.21,-7.75
,,,MIGRS-IS,,,,,2006-11,,2006-11-01,5.0,5.0,BBB,-0.0196683,-0.002813708,,,1.71,0.7,0.14,0.42,-1.03
11.0,3.0,3660.0,SEAC,10.0,18868.0,-0.151104,32627.0,2013-08,326270.0,2013-08-01,5.8,5.3,A,0.003599467,0.007885092,-0.002765983,0.017547525,-2.71,0.28,-2.69,0.0,0.02
,,,TLW,,,,,2014-02,,2014-02-01,4.6,3.8,BBB,0.007200192,-0.000104942,-0.004207375,0.002051642,4.65,0.37,-0.31,0.0,2.07
12.0,1.0,6331,RE,170.64999,70950.0,0.05333,45472.0,2014-10,7759796.34528,2014-10-01,0.0,0.9,CCC,-0.018946583,-0.070176675,0.034851925,0.006880533,2.52,4.2,-1.81,0.0,-0.06
,,,SPALI,,,,,2018-05,,2018-05-01,4.3,4.1,BBB,0.021006225,0.021007533,-0.0066537,0.011174375,2.65,5.26,-3.18,0.14,3.89
